GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC39,HC02_EST_VC40,HC02_EST_VC41,HC02_EST_VC42,HC02_EST_VC43,HC02_EST_VC46,HC02_EST_VC47,HC02_EST_VC48,HC02_EST_VC49,HC02_EST_VC52,HC02_EST_VC53,HC02_EST_VC56,HC02_EST_VC57
1400000US37003040100,37003040100,"Census Tract 401, Alexander County, North Carolina",255,21.6,23.1,36.9,18.4,141,83.7,118,0,255,0,255,37.6
1400000US37003040200,37003040200,"Census Tract 402, Alexander County, North Carolina",230,19.1,28.3,46.1,6.5,112,69.6,78,0,230,0,230,30.4
1400000US37003040300,37003040300,"Census Tract 403, Alexander County, North Carolina",205,19,43.9,37.1,0,167,48.5,81,24.7,205,27.8,205,19.5
1400000US37003040400,37003040400,"Census Tract 404, Alexander County, North Carolina",430,17,24.4,49.1,9.5,265,64.9,172,4.7,421,13.5,421,38
1400000US37003040500,37003040500,"Census Tract 405, Alexander County, North Carolina",319,3.4,53.3,16.9,26.3,159,67.9,108,0,319,20.7,319,28.5
1400000US37003040600,37003040600,"Census Tract 406, Alexander County, North Carolina",424,17.2,47.4,27.1,8.3,236,67.8,160,19.4,354,4.2,354,34.5
1400000US37003040700,37003040700,"Census Tract 407, Alexander County, North Carolina",634,2.5,27.6,38.3,31.5,349,84.8,296,10.5,634,10.9,634,14.4
1400000US37005950100,37005950100,"Census Tract 9501, Alleghany County, North Carolina",248,0,36.3,37.5,26.2,114,50.9,58,0,248,31.5,248,35.5
1400000US37005950200,37005950200,"Census Tract 9502, Alleghany County, North Carolina",270,30.4,25.9,26.3,17.4,140,49.3,69,0,255,6.3,255,44.3
1400000US37005950300,37005950300,"Census Tract 9503, Alleghany County, North Carolina",248,0,45.2,28.6,26.2,115,59.1,68,17.6,259,4.2,259,17
1400000US37007920100,37007920100,"Census Tract 9201, Anson County, North Carolina",245,21.2,13.9,41.2,23.7,124,78.2,97,0,245,9.4,245,25.7
1400000US37007920200,37007920200,"Census Tract 9202, Anson County, North Carolina",106,2.8,20.8,73.6,2.8,104,100,104,12.5,121,15.7,121,15.7
1400000US37007920300,37007920300,"Census Tract 9203, Anson County, North Carolina",529,14.9,55.8,22.9,6.4,289,62.6,181,3.9,468,10.5,468,40.4
1400000US37007920400,37007920400,"Census Tract 9204, Anson County, North Carolina",163,10.4,42.9,46.6,0,136,30.9,42,0,163,0,163,62.6
1400000US37007920500,37007920500,"Census Tract 9205, Anson County, North Carolina",626,7.7,43.6,26,22.7,388,89.2,346,34.7,616,17.9,616,20.9
1400000US37007920600,37007920600,"Census Tract 9206, Anson County, North Carolina",309,1.6,64.7,23.6,10,200,80,160,45.6,309,14.6,309,23.6
1400000US37009970200,37009970200,"Census Tract 9702, Ashe County, North Carolina",243,3.7,43.2,46.9,6.2,146,71.2,104,6.7,243,9.5,243,36.6
1400000US37009970300,37009970300,"Census Tract 9703, Ashe County, North Carolina",186,3.8,23.1,60.8,12.4,85,60,51,0,186,18.3,186,23.7
1400000US37009970400,37009970400,"Census Tract 9704, Ashe County, North Carolina",485,5.4,33.4,39.2,22.1,252,89.7,226,17.7,488,14.3,488,27.7
1400000US37009970500,37009970500,"Census Tract 9705, Ashe County, North Carolina",443,8.6,21.4,54.2,15.8,211,66.4,140,12.1,437,14,437,53.3
1400000US37009970700,37009970700,"Census Tract 9707, Ashe County, North Carolina",541,6.8,19.8,47,26.4,245,78,191,17.3,541,2.8,541,29.6
1400000US37009970800,37009970800,"Census Tract 9708, Ashe County, North Carolina",381,10.2,23.4,32.8,33.6,180,62.8,113,15,419,21.7,419,17.9
1400000US37011930100,37011930100,"Census Tract 9301, Avery County, North Carolina",269,14.9,9.3,40.9,34.9,176,78.4,138,3.6,269,18.6,269,31.6
1400000US37011930200,37011930200,"Census Tract 9302, Avery County, North Carolina",404,12.6,18.1,12.9,56.4,116,97.4,113,7.1,404,2.5,404,44.1
1400000US37011930301,37011930301,"Census Tract 9303.01, Avery County, North Carolina",217,13.4,31.8,38.2,16.6,79,64.6,51,0,217,1.8,217,41.5
1400000US37011930302,37011930302,"Census Tract 9303.02, Avery County, North Carolina",130,38.5,37.7,23.8,0,22,100,22,63.6,130,3.8,130,47.7
1400000US37011930400,37011930400,"Census Tract 9304, Avery County, North Carolina",362,14.1,23.8,53,9.1,276,34.8,96,0,225,0,225,39.6
1400000US37013930100,37013930100,"Census Tract 9301, Beaufort County, North Carolina",512,2,34,43.9,20.1,353,43.3,153,19.6,558,14.9,558,40.1
1400000US37013930200,37013930200,"Census Tract 9302, Beaufort County, North Carolina",403,1,42.9,31.5,24.6,250,60.4,151,8.6,403,0,403,28
1400000US37013930300,37013930300,"Census Tract 9303, Beaufort County, North Carolina",242,7.4,9.5,34.7,48.3,156,64.1,100,0,241,11.6,241,17
1400000US37013930400,37013930400,"Census Tract 9304, Beaufort County, North Carolina",357,7.3,39.5,16.8,36.4,162,68.5,111,0,348,8.3,348,37.4
1400000US37013930501,37013930501,"Census Tract 9305.01, Beaufort County, North Carolina",374,5.3,40.4,34.2,20.1,148,84.5,125,0,374,0,374,32.6
1400000US37013930502,37013930502,"Census Tract 9305.02, Beaufort County, North Carolina",234,14.1,8.5,60.7,16.7,127,83.5,106,0,234,15.8,234,27.8
1400000US37013930600,37013930600,"Census Tract 9306, Beaufort County, North Carolina",409,6.4,50.6,17.6,25.4,258,74,191,3.1,409,3.7,409,28.1
1400000US37013930700,37013930700,"Census Tract 9307, Beaufort County, North Carolina",365,9.9,29,29.9,31.2,101,38.6,39,25.6,365,5.8,365,34.8
1400000US37013930800,37013930800,"Census Tract 9308, Beaufort County, North Carolina",207,6.8,54.1,21.7,17.4,86,25.6,22,31.8,207,4.8,207,49.3
1400000US37013930900,37013930900,"Census Tract 9309, Beaufort County, North Carolina",586,2.7,21.3,36.9,39.1,234,61.5,144,25.7,586,1.7,586,28.8
1400000US37013931000,37013931000,"Census Tract 9310, Beaufort County, North Carolina",234,19.2,30.8,44.4,5.6,178,89.9,160,16.3,259,13.9,259,27.4
1400000US37015960100,37015960100,"Census Tract 9601, Bertie County, North Carolina",421,6.7,56.3,22.8,14.3,236,83.1,196,0,421,5.7,421,28.5
1400000US37015960200,37015960200,"Census Tract 9602, Bertie County, North Carolina",196,10.2,41.8,39.3,8.7,125,77.6,97,30.9,196,6.1,196,23.5
1400000US37015960300,37015960300,"Census Tract 9603, Bertie County, North Carolina",158,8.2,60.1,24.1,7.6,110,95.5,105,46.7,157,0,157,31.2
1400000US37015960400,37015960400,"Census Tract 9604, Bertie County, North Carolina",416,11.8,32.7,30.8,24.8,264,59.5,157,0,358,8.9,358,32.4
1400000US37017950100,37017950100,"Census Tract 9501, Bladen County, North Carolina",417,21.3,30,28.3,20.4,228,57,130,0,413,8.7,413,35.8
1400000US37017950200,37017950200,"Census Tract 9502, Bladen County, North Carolina",186,4.8,49.5,27.4,18.3,122,50.8,62,16.1,186,6.5,186,34.9
1400000US37017950300,37017950300,"Census Tract 9503, Bladen County, North Carolina",448,16.7,25,41.1,17.2,267,67.8,181,24.3,448,7.1,448,49.3
1400000US37017950400,37017950400,"Census Tract 9504, Bladen County, North Carolina",327,6.4,44,34.6,15,87,51.7,45,0,305,0,305,23.9
1400000US37017950500,37017950500,"Census Tract 9505, Bladen County, North Carolina",314,25.8,29,38.9,6.4,211,51.7,109,0,314,8.6,314,51.9
1400000US37017950600,37017950600,"Census Tract 9506, Bladen County, North Carolina",470,14.9,41.7,24.3,19.1,242,78.1,189,1.1,469,20.5,469,41.6
1400000US37019020101,37019020101,"Census Tract 201.01, Brunswick County, North Carolina",228,15.8,32.5,43.4,8.3,195,64.1,125,5.6,232,16.4,232,22
1400000US37019020102,37019020102,"Census Tract 201.02, Brunswick County, North Carolina",101,0,27.7,45.5,26.7,67,74.6,50,16,101,0,101,19.8
1400000US37019020103,37019020103,"Census Tract 201.03, Brunswick County, North Carolina",821,0,18.5,29,52.5,543,72.9,396,9.8,821,5.5,821,22.9
1400000US37019020104,37019020104,"Census Tract 201.04, Brunswick County, North Carolina",538,33.1,48,17.1,1.9,311,71.7,223,0,538,24.7,538,47.4
1400000US37019020201,37019020201,"Census Tract 202.01, Brunswick County, North Carolina",288,0.7,10.4,58.3,30.6,276,84.8,234,3,305,0,305,13.1
1400000US37019020202,37019020202,"Census Tract 202.02, Brunswick County, North Carolina",690,9.3,32.6,32.6,25.5,325,64.6,210,38.6,690,0,690,40.4
1400000US37019020203,37019020203,"Census Tract 202.03, Brunswick County, North Carolina",197,11.7,28.9,35,24.4,120,50.8,61,0,197,5.6,197,6.1
1400000US37019020204,37019020204,"Census Tract 202.04, Brunswick County, North Carolina",953,1.7,39.8,39.7,18.9,354,74.3,263,0,953,16.6,953,21.7
1400000US37019020303,37019020303,"Census Tract 203.03, Brunswick County, North Carolina",413,6.5,14.3,35.4,43.8,145,42.8,62,32.3,413,8.5,413,36.8
1400000US37019020304,37019020304,"Census Tract 203.04, Brunswick County, North Carolina",943,1.6,20.5,21.1,56.8,244,66.4,162,7.4,943,1.2,943,20.1
1400000US37019020305,37019020305,"Census Tract 203.05, Brunswick County, North Carolina",445,2.2,13.9,56.2,27.6,209,100,209,0,445,2.5,445,27.4
1400000US37019020306,37019020306,"Census Tract 203.06, Brunswick County, North Carolina",317,5,22.7,36.3,36,129,85.3,110,0,317,0,317,24
1400000US37019020307,37019020307,"Census Tract 203.07, Brunswick County, North Carolina",26,0,11.5,19.2,69.2,6,0,0,-,26,11.5,26,23.1
1400000US37019020308,37019020308,"Census Tract 203.08, Brunswick County, North Carolina",277,6.1,24.2,45.1,24.5,181,96.7,175,9.7,277,7.9,277,9.4
1400000US37019020309,37019020309,"Census Tract 203.09, Brunswick County, North Carolina",247,5.3,27.5,63.6,3.6,129,79.8,103,6.8,247,2.4,247,13.8
1400000US37019020310,37019020310,"Census Tract 203.10, Brunswick County, North Carolina",240,2.1,28.8,30.8,38.3,111,55,61,32.8,260,11.2,260,28.1
1400000US37019020402,37019020402,"Census Tract 204.02, Brunswick County, North Carolina",339,3.2,47.2,31.9,17.7,155,50.3,78,0,339,12.1,339,22.7
1400000US37019020403,37019020403,"Census Tract 204.03, Brunswick County, North Carolina",405,21.2,69.4,9.4,0,230,43.5,100,0,405,4.9,405,53.3
1400000US37019020404,37019020404,"Census Tract 204.04, Brunswick County, North Carolina",308,13,27.6,50.6,8.8,182,63.2,115,0,308,9.7,308,20.1
1400000US37019020405,37019020405,"Census Tract 204.05, Brunswick County, North Carolina",373,10.5,37,31.9,20.6,154,68.2,105,47.6,373,8.3,373,33.2
1400000US37019020504,37019020504,"Census Tract 205.04, Brunswick County, North Carolina",257,3.9,17.1,31.1,47.9,47,51.1,24,29.2,257,0,257,25.3
1400000US37019020505,37019020505,"Census Tract 205.05, Brunswick County, North Carolina",228,9.2,45.2,40.4,5.3,155,68.4,106,11.3,228,22.8,228,24.6
1400000US37019020506,37019020506,"Census Tract 205.06, Brunswick County, North Carolina",410,2.9,58.5,27.3,11.2,278,100,278,24.1,456,29.4,456,24.1
1400000US37019020507,37019020507,"Census Tract 205.07, Brunswick County, North Carolina",1242,6.4,23.4,47.6,22.5,377,45.1,170,11.8,1242,9.5,1242,37
1400000US37019020508,37019020508,"Census Tract 205.08, Brunswick County, North Carolina",539,4.1,13.5,25.6,56.8,131,50.4,66,31.8,539,2.6,539,22.8
1400000US37019020509,37019020509,"Census Tract 205.09, Brunswick County, North Carolina",697,5.3,21.8,25.1,47.8,118,43.2,51,43.1,697,6.6,697,28.3
1400000US37019020510,37019020510,"Census Tract 205.10, Brunswick County, North Carolina",215,14,25.6,34,26.5,54,63,34,11.8,215,0,215,27.9
1400000US37019020511,37019020511,"Census Tract 205.11, Brunswick County, North Carolina",288,8,14.2,33.7,44.1,57,73.7,42,0,288,0,288,33.3
1400000US37019020512,37019020512,"Census Tract 205.12, Brunswick County, North Carolina",151,1.3,31.1,12.6,55,52,86.5,45,4.4,151,0,151,15.2
1400000US37019020601,37019020601,"Census Tract 206.01, Brunswick County, North Carolina",312,8.7,15.7,65.7,9.9,238,72.3,172,0,300,10.3,300,28
1400000US37019020602,37019020602,"Census Tract 206.02, Brunswick County, North Carolina",534,17.2,25.3,44.9,12.5,366,87.4,320,1.6,534,7.3,534,29.2
1400000US37019020603,37019020603,"Census Tract 206.03, Brunswick County, North Carolina",291,1,29.9,64.9,4.1,174,43.1,75,4,264,4.5,264,33.7
1400000US37019990100,37019990100,"Census Tract 9901, Brunswick County, North Carolina",0,-,-,-,-,0,-,0,-,0,-,0,-
1400000US37021000100,37021000100,"Census Tract 1, Buncombe County, North Carolina",89,0,31.5,51.7,16.9,60,18.3,11,0,59,35.6,59,32.2
1400000US37021000200,37021000200,"Census Tract 2, Buncombe County, North Carolina",54,0,0,11.1,88.9,33,63.6,21,0,54,0,54,50
1400000US37021000300,37021000300,"Census Tract 3, Buncombe County, North Carolina",99,18.2,17.2,15.2,49.5,70,67.1,47,19.1,99,11.1,99,14.1
1400000US37021000400,37021000400,"Census Tract 4, Buncombe County, North Carolina",100,8,15,43,34,69,59.4,41,14.6,92,26.1,92,31.5
1400000US37021000500,37021000500,"Census Tract 5, Buncombe County, North Carolina",339,3.5,5,30.7,60.8,142,79.6,113,0,339,6.2,339,13.3
1400000US37021000600,37021000600,"Census Tract 6, Buncombe County, North Carolina",107,22.4,16.8,33.6,27.1,64,54.7,35,0,107,13.1,107,7.5
1400000US37021000700,37021000700,"Census Tract 7, Buncombe County, North Carolina",50,0,46,54,0,50,26,13,0,50,38,50,70
1400000US37021000800,37021000800,"Census Tract 8, Buncombe County, North Carolina",253,13,26.9,37.5,22.5,185,81.1,150,5.3,252,9.5,252,46.8
1400000US37021000900,37021000900,"Census Tract 9, Buncombe County, North Carolina",164,26.8,23.2,30.5,19.5,122,36.9,45,15.6,151,46.4,151,36.4
1400000US37021001000,37021001000,"Census Tract 10, Buncombe County, North Carolina",269,10,44.2,38.7,7.1,215,63.3,136,6.6,269,27.9,269,64.7
1400000US37021001100,37021001100,"Census Tract 11, Buncombe County, North Carolina",238,0,18.9,58.8,22.3,140,82.1,115,0,219,12.3,219,19.2
1400000US37021001200,37021001200,"Census Tract 12, Buncombe County, North Carolina",304,12.8,21.4,36.8,28.9,197,72.6,143,8.4,304,7.6,304,28.3
1400000US37021001300,37021001300,"Census Tract 13, Buncombe County, North Carolina",126,23.8,8.7,41.3,26.2,52,88.5,46,0,126,0,126,22.2
1400000US37021001400,37021001400,"Census Tract 14, Buncombe County, North Carolina",378,6.3,25.1,41.5,27,220,58.2,128,29.7,356,22.2,356,54.8
1400000US37021001500,37021001500,"Census Tract 15, Buncombe County, North Carolina",123,0,27.6,46.3,26,91,86.8,79,40.5,123,0.8,123,23.6
1400000US37021001600,37021001600,"Census Tract 16, Buncombe County, North Carolina",478,6.7,13,35.1,45.2,187,92.5,173,0,478,15.7,478,38.5
1400000US37021001700,37021001700,"Census Tract 17, Buncombe County, North Carolina",286,0,12.6,32.9,54.5,87,100,87,16.1,286,2.8,286,15.7
1400000US37021001801,37021001801,"Census Tract 18.01, Buncombe County, North Carolina",391,0,19.7,17.4,62.9,173,89.6,155,5.8,422,0,422,28.7
1400000US37021001802,37021001802,"Census Tract 18.02, Buncombe County, North Carolina",516,0.8,37,39.5,22.7,348,89.1,310,3.9,510,4.1,510,14.5
1400000US37021001900,37021001900,"Census Tract 19, Buncombe County, North Carolina",247,4.5,22.7,42.5,30.4,106,89.6,95,0,247,4.5,247,27.1
1400000US37021002000,37021002000,"Census Tract 20, Buncombe County, North Carolina",470,8.5,7,60.9,23.6,333,73.3,244,17.2,455,20.9,455,32.1
1400000US37021002101,37021002101,"Census Tract 21.01, Buncombe County, North Carolina",190,0,7.4,15.8,76.8,56,73.2,41,0,190,0,190,17.4
1400000US37021002102,37021002102,"Census Tract 21.02, Buncombe County, North Carolina",347,2.6,33.7,49.6,14.1,319,79.6,254,5.1,395,4.1,395,24.6
1400000US37021002203,37021002203,"Census Tract 22.03, Buncombe County, North Carolina",335,10.4,9.3,67.5,12.8,271,88.6,240,40.8,335,13.1,335,15.2
1400000US37021002204,37021002204,"Census Tract 22.04, Buncombe County, North Carolina",881,3.5,6.4,29.6,60.5,371,71.2,264,23.1,914,6.7,914,46.7
1400000US37021002205,37021002205,"Census Tract 22.05, Buncombe County, North Carolina",716,0.4,28.6,45.8,25.1,450,82,369,9.8,704,2,704,23.2
1400000US37021002206,37021002206,"Census Tract 22.06, Buncombe County, North Carolina",487,6.2,36.8,7.8,49.3,103,78.6,81,58,460,13.7,460,43.9
1400000US37021002301,37021002301,"Census Tract 23.01, Buncombe County, North Carolina",508,6.9,15.6,46.9,30.7,239,66.5,159,37.7,508,15.9,508,27.6
1400000US37021002302,37021002302,"Census Tract 23.02, Buncombe County, North Carolina",767,4.2,24.4,28.3,43.2,400,75.3,301,6,782,6.4,782,17.5
1400000US37021002401,37021002401,"Census Tract 24.01, Buncombe County, North Carolina",327,0,50.2,37.6,12.2,232,62.9,146,19.2,327,37.3,327,39.4
1400000US37021002402,37021002402,"Census Tract 24.02, Buncombe County, North Carolina",198,8.1,36.4,21.7,33.8,121,86,104,0,198,0,198,46.5
1400000US37021002503,37021002503,"Census Tract 25.03, Buncombe County, North Carolina",435,9.4,33.6,43.7,13.3,204,73,149,0,435,2.1,435,29
1400000US37021002504,37021002504,"Census Tract 25.04, Buncombe County, North Carolina",340,0,49.7,35.3,15,213,26.3,56,0,340,15.3,340,24.4
1400000US37021002505,37021002505,"Census Tract 25.05, Buncombe County, North Carolina",432,7.2,30.8,44,18.1,173,82.1,142,0,416,3.8,416,24.5
1400000US37021002506,37021002506,"Census Tract 25.06, Buncombe County, North Carolina",182,22.5,0,77.5,0,141,30.5,43,0,182,25.3,182,12.6
1400000US37021002603,37021002603,"Census Tract 26.03, Buncombe County, North Carolina",388,7.2,58.5,21.4,12.9,109,79.8,87,0,388,8,388,38.9
1400000US37021002604,37021002604,"Census Tract 26.04, Buncombe County, North Carolina",419,0,56.1,36.8,7.2,255,57.6,147,0,438,4.6,438,29.2
1400000US37021002605,37021002605,"Census Tract 26.05, Buncombe County, North Carolina",462,9.1,30.1,45.9,14.9,180,73.3,132,15.9,462,2.6,462,24.5
1400000US37021002606,37021002606,"Census Tract 26.06, Buncombe County, North Carolina",237,17.7,43.5,18.6,20.3,130,90.8,118,0,237,7.2,237,16.9
1400000US37021002607,37021002607,"Census Tract 26.07, Buncombe County, North Carolina",412,0,32,29.1,38.8,372,67.2,250,5.2,412,3.2,412,1.9
1400000US37021002701,37021002701,"Census Tract 27.01, Buncombe County, North Carolina",363,6.6,22.3,31.1,39.9,152,68.4,104,19.2,338,15.4,338,21.6
1400000US37021002702,37021002702,"Census Tract 27.02, Buncombe County, North Carolina",413,5.3,47.7,27.1,19.9,197,27.4,54,0,402,14.9,402,40.5
1400000US37021002703,37021002703,"Census Tract 27.03, Buncombe County, North Carolina",515,6.4,29.9,42.9,20.8,292,61,178,0,515,0,515,22.7
1400000US37021002803,37021002803,"Census Tract 28.03, Buncombe County, North Carolina",328,3.4,31.7,33.5,31.4,172,92.4,159,0,328,0,328,11.3
1400000US37021002804,37021002804,"Census Tract 28.04, Buncombe County, North Carolina",451,14,36.4,25.5,24.2,265,47.9,127,16.5,451,5.1,451,29.9
1400000US37021002900,37021002900,"Census Tract 29, Buncombe County, North Carolina",414,10.6,47.1,22.9,19.3,282,94,265,12.1,414,4.1,414,20
1400000US37021003001,37021003001,"Census Tract 30.01, Buncombe County, North Carolina",809,7.4,35.7,39.4,17.4,470,57.2,269,0,839,10.6,839,40.4
1400000US37021003002,37021003002,"Census Tract 30.02, Buncombe County, North Carolina",598,5.4,28.8,41.6,24.2,298,91.3,272,18.4,582,8.6,582,31.1
1400000US37021003102,37021003102,"Census Tract 31.02, Buncombe County, North Carolina",711,9.8,26.4,22.6,41.1,373,69.2,258,0,713,10.4,713,29.5
1400000US37021003103,37021003103,"Census Tract 31.03, Buncombe County, North Carolina",193,0,50.3,8.3,41.5,122,66.4,81,0,193,0,193,51.3
1400000US37021003104,37021003104,"Census Tract 31.04, Buncombe County, North Carolina",430,4.7,22.1,32.3,40.9,194,88.7,172,0,418,4.1,418,21.1
1400000US37021003201,37021003201,"Census Tract 32.01, Buncombe County, North Carolina",158,0,24.1,7,69,57,93,53,0,166,0,166,19.9
1400000US37021003202,37021003202,"Census Tract 32.02, Buncombe County, North Carolina",393,4.8,9.2,24.4,61.6,257,73.5,189,0,388,11.3,388,30.7
1400000US37021003203,37021003203,"Census Tract 32.03, Buncombe County, North Carolina",559,0,37.6,21.3,41.1,274,71.2,195,15.4,559,0,559,13.2
1400000US37021003204,37021003204,"Census Tract 32.04, Buncombe County, North Carolina",644,10.1,29.3,43.3,17.2,371,73.3,272,10.7,644,5.3,644,23
1400000US37021003205,37021003205,"Census Tract 32.05, Buncombe County, North Carolina",121,17.4,44.6,33.1,5,50,86,43,0,121,23.1,121,54.5
